pair_id,block_id,burn.season,burn,scrub,diff,ln.ratio
1,1,Fall,10,4,6,0.9162907318741551
2,1,Fall,1,1,0,0
3,1,Fall,1,7,-6,-1.9459101490553135
4,1,Fall,1,1,0,0
5,1,Winter,1,4,-3,-1.3862943611198906
6,1,Winter,2,1,1,0.6931471805599453
10,1,Winter,3,2,1,0.4054651081081644
11,1,Winter,16,6,10,0.9808292530117262
12,1,Spring,1,1,0,0
13,1,Spring,1,1,0,0
14,1,Spring,1,1,0,0
15,2,Fall,1,1,0,0
16,2,Fall,13,1,12,2.5649493574615367
17,2,Spring,1,1,0,0
18,2,Spring,1,1,0,0
19,2,Spring,1,1,0,0
20,4,Fall,4,1,3,1.3862943611198906
21,4,Fall,1,1,0,0
22,4,Winter,1,1,0,0
23,4,Winter,8,1,7,2.0794415416798357
25,4,Winter,16,3,13,1.6739764335716716
26,5,Fall,16,1,15,2.772588722239781
27,5,Fall,1,1,0,0
28,5,Winter,4,3,1,0.28768207245178085
29,5,Winter,14,16,-2,-0.13353139262452263
30,6,Fall,1,4,-3,-1.3862943611198906
31,6,Fall,1,2,-1,-0.6931471805599453
32,6,Fall,1,1,0,0
33,6,Fall,1,1,0,0
34,6,Winter,16,16,0,0
35,6,Winter,14,11,3,0.24116205681688804
36,7,Fall,1,4,-3,-1.3862943611198906
37,7,Fall,1,1,0,0
38,7,Fall,4,2,2,0.6931471805599453
39,7,Fall,1,1,0,0
40,7,Winter,16,16,0,0
41,7,Winter,2,4,-2,-0.6931471805599453
42,8,Fall,7,6,1,0.15415067982725836
43,8,Fall,1,1,0,0
44,8,Fall,4,1,3,1.3862943611198906
45,8,Fall,10,1,9,2.302585092994046
46,8,Winter,3,1,2,1.0986122886681098
47,8,Winter,15,1,14,2.70805020110221
50,8,Winter,2,1,1,0.6931471805599453
51,8,Winter,2,1,1,0.6931471805599453
52,8,Spring,1,1,0,0
53,8,Spring,4,10,-6,-0.916290731874155
54,8,Spring,1,1,0,0
55,8,Spring,2,1,1,0.6931471805599453
56,8,Spring,1,1,0,0
57,8,Spring,1,1,0,0
58,1,Summer,6,7,-1,-0.15415067982725836
59,8,Summer,9,16,-7,-0.5753641449035618
60,1,Summer,5,14,-9,-1.0296194171811581
61,8,Summer,11,9,2,0.20067069546215124
62,1,Summer,1,8,-7,-2.0794415416798357
63,8,Summer,14,11,3,0.24116205681688804
64,2,Summer,16,15,1,0.06453852113757116
65,2,Summer,11,4,7,1.0116009116784799
66,3,Summer,9,16,-7,-0.5753641449035618
67,3,Summer,16,16,0,0
68,3,Summer,16,16,0,0
70,8,Summer,11,4,7,1.0116009116784799
71,8,Summer,16,16,0,0
